
Integration time [ms]:  90,000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
322,632;   33,700;    0,000;    0,000
322,651;   68,700;    0,000;    0,000
322,669;   20,700;    0,000;    0,000
322,688;  119,500;    0,000;    0,000
322,707;   43,750;    0,000;    0,000
322,725;   31,000;    0,000;    0,000
322,744;   88,150;    0,000;    0,000
322,763;   10,400;    0,000;    0,000
322,781;   48,750;    0,000;    0,000
322,800;   57,750;    0,000;    0,000
322,819;   38,450;    0,000;    0,000
322,838;   81,550;    0,000;    0,000
322,856;   36,400;    0,000;    0,000
322,875;   31,400;    0,000;    0,000
322,894;   -1,950;    0,000;    0,000
322,912;   -5,900;    0,000;    0,000
322,931;   49,100;    0,000;    0,000
322,950;   99,650;    0,000;    0,000
322,968;   67,550;    0,000;    0,000
322,987;   34,150;    0,000;    0,000
323,006;   14,900;    0,000;    0,000
323,024;   53,500;    0,000;    0,000
323,043;   29,850;    0,000;    0,000
323,061;   73,600;    0,000;    0,000
323,080;   66,650;    0,000;    0,000
323,099;   22,350;    0,000;    0,000
323,117;   54,650;    0,000;    0,000
323,136;   73,350;    0,000;    0,000
323,155;    7,150;    0,000;    0,000
323,173;   33,000;    0,000;    0,000
323,192;   30,750;    0,000;    0,000
323,211;    5,150;    0,000;    0,000
323,229;    2,150;    0,000;    0,000
323,248;   15,750;    0,000;    0,000
323,266;  120,450;    0,000;    0,000
323,285;   17,100;    0,000;    0,000
323,304;  108,900;    0,000;    0,000
323,322;   50,050;    0,000;    0,000
323,341;   37,800;    0,000;    0,000
323,360;   66,650;    0,000;    0,000
323,378;   80,450;    0,000;    0,000
323,397;  101,700;    0,000;    0,000
323,415;   34,750;    0,000;    0,000
323,434;   72,500;    0,000;    0,000
323,453;   59,100;    0,000;    0,000
323,471;  112,350;    0,000;    0,000
323,490;   77,050;    0,000;    0,000
323,508;   76,450;    0,000;    0,000
323,527;   54,650;    0,000;    0,000
323,546;   86,950;    0,000;    0,000
323,564;   27,800;    0,000;    0,000
323,583;   24,500;    0,000;    0,000
323,601;   80,500;    0,000;    0,000
323,620;   86,750;    0,000;    0,000
323,638;   88,050;    0,000;    0,000
