
Integration time [ms]:  14,000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
325,575;   55,950;    0,000;    0,000
325,594;   74,400;    0,000;    0,000
325,612;   69,100;    0,000;    0,000
325,630;   52,650;    0,000;    0,000
325,649;   68,550;    0,000;    0,000
325,667;   86,300;    0,000;    0,000
325,685;   83,950;    0,000;    0,000
325,703;   73,000;    0,000;    0,000
325,722;   93,600;    0,000;    0,000
325,740;   99,350;    0,000;    0,000
325,758;  119,600;    0,000;    0,000
325,777;  149,750;    0,000;    0,000
325,795;  238,250;    0,000;    0,000
325,813;  388,250;    0,000;    0,000
325,831;  682,100;    0,000;    0,000
325,850; 1101,800;    0,000;    0,000
325,868; 1844,400;    0,000;    0,000
325,886; 2973,550;    0,000;    0,000
325,905; 4658,750;    0,000;    0,000
325,923; 6292,650;    0,000;    0,000
325,941; 8028,550;    0,000;    0,000
325,959;10976,050;    0,000;    0,000
325,978;19834,400;    0,000;    0,000
325,996;37414,150;    0,000;    0,000
326,014;59628,150;    0,000;    0,000
326,032;61873,450;    0,000;    0,000
326,051;34439,800;    0,000;    0,000
326,069;14223,650;    0,000;    0,000
326,087; 5997,450;    0,000;    0,000
326,105; 3166,300;    0,000;    0,000
326,124; 1984,350;    0,000;    0,000
326,142;  995,650;    0,000;    0,000
326,160;  592,950;    0,000;    0,000
326,178;  450,900;    0,000;    0,000
326,197;  362,350;    0,000;    0,000
326,215;  294,400;    0,000;    0,000
326,233;  245,800;    0,000;    0,000
326,251;  222,000;    0,000;    0,000
326,270;  210,500;    0,000;    0,000
326,288;  206,100;    0,000;    0,000
326,306;  173,600;    0,000;    0,000
326,324;  170,700;    0,000;    0,000
326,342;  179,150;    0,000;    0,000
326,361;  159,350;    0,000;    0,000
326,379;  125,500;    0,000;    0,000
326,397;  121,950;    0,000;    0,000
326,415;  103,050;    0,000;    0,000
326,434;  117,600;    0,000;    0,000
326,452;  110,500;    0,000;    0,000
326,470;  119,150;    0,000;    0,000
326,488;  105,650;    0,000;    0,000
326,506;  114,550;    0,000;    0,000
326,525;   94,150;    0,000;    0,000
326,543;   84,550;    0,000;    0,000
326,561;   93,300;    0,000;    0,000
326,579;   94,700;    0,000;    0,000
326,597;  106,950;    0,000;    0,000
326,615;   78,100;    0,000;    0,000
326,634;   79,350;    0,000;    0,000
326,652;   67,600;    0,000;    0,000
326,670;   71,250;    0,000;    0,000
326,688;   74,850;    0,000;    0,000
326,706;   87,350;    0,000;    0,000
326,724;   94,850;    0,000;    0,000
326,743;  103,200;    0,000;    0,000
326,761;   94,100;    0,000;    0,000
326,779;   84,450;    0,000;    0,000
326,797;  105,050;    0,000;    0,000
326,815;   78,650;    0,000;    0,000
326,833;   80,950;    0,000;    0,000
326,852;   96,800;    0,000;    0,000
326,870;   85,750;    0,000;    0,000
326,888;  109,800;    0,000;    0,000
326,906;  109,500;    0,000;    0,000
326,924;   86,750;    0,000;    0,000
326,942;  100,850;    0,000;    0,000
326,960;  102,100;    0,000;    0,000
326,979;  106,400;    0,000;    0,000
326,997;   78,350;    0,000;    0,000
327,015;   66,350;    0,000;    0,000
327,033;   68,500;    0,000;    0,000
327,051;   82,700;    0,000;    0,000
327,069;   67,000;    0,000;    0,000
327,087;   95,350;    0,000;    0,000
327,105;   88,600;    0,000;    0,000
327,123;   81,750;    0,000;    0,000
327,142;   96,200;    0,000;    0,000
327,160;   77,300;    0,000;    0,000
327,178;   81,450;    0,000;    0,000
327,196;  111,600;    0,000;    0,000
327,214;  128,700;    0,000;    0,000
327,232;  139,050;    0,000;    0,000
327,250;  118,900;    0,000;    0,000
327,268;  105,850;    0,000;    0,000
327,286;   77,300;    0,000;    0,000
327,304;   63,450;    0,000;    0,000
327,323;   46,250;    0,000;    0,000
327,341;   86,500;    0,000;    0,000
327,359;   75,950;    0,000;    0,000
327,377;   43,500;    0,000;    0,000
327,395;   59,650;    0,000;    0,000
327,413;   53,100;    0,000;    0,000
327,431;   52,950;    0,000;    0,000
327,449;   51,000;    0,000;    0,000
327,467;   55,900;    0,000;    0,000
327,485;   66,100;    0,000;    0,000
327,503;   65,550;    0,000;    0,000
327,521;   49,800;    0,000;    0,000
327,539;   64,700;    0,000;    0,000
327,557;   40,550;    0,000;    0,000
327,575;   36,150;    0,000;    0,000
327,593;   33,450;    0,000;    0,000
327,612;    6,150;    0,000;    0,000
327,630;   42,950;    0,000;    0,000
327,648;   18,950;    0,000;    0,000
327,666;   39,400;    0,000;    0,000
327,684;    8,100;    0,000;    0,000
327,702;   11,600;    0,000;    0,000
327,720;   18,250;    0,000;    0,000
327,738;   37,650;    0,000;    0,000
327,756;   26,350;    0,000;    0,000
327,774;   29,100;    0,000;    0,000
327,792;   28,600;    0,000;    0,000
327,810;   16,200;    0,000;    0,000
327,828;   20,100;    0,000;    0,000
327,846;    0,900;    0,000;    0,000
327,864;   13,050;    0,000;    0,000
327,882;   23,600;    0,000;    0,000
327,900;    3,500;    0,000;    0,000
327,918;   35,850;    0,000;    0,000
327,936;   13,650;    0,000;    0,000
327,954;   21,050;    0,000;    0,000
327,972;   36,200;    0,000;    0,000
327,990;    2,000;    0,000;    0,000
328,008;   26,150;    0,000;    0,000
328,026;   14,950;    0,000;    0,000
328,044;    9,050;    0,000;    0,000
328,062;   17,600;    0,000;    0,000
328,080;    4,200;    0,000;    0,000
328,098;    9,200;    0,000;    0,000
328,116;   23,500;    0,000;    0,000
328,134;    9,100;    0,000;    0,000
328,152;    5,600;    0,000;    0,000
328,170;   -4,000;    0,000;    0,000
328,188;   10,000;    0,000;    0,000
328,206;    8,300;    0,000;    0,000
328,224;    3,750;    0,000;    0,000
328,242;   13,750;    0,000;    0,000
328,260;   15,200;    0,000;    0,000
328,277;   15,250;    0,000;    0,000
328,295;   14,150;    0,000;    0,000
328,313;  -15,250;    0,000;    0,000
328,331;   14,800;    0,000;    0,000
328,349;   -0,100;    0,000;    0,000
328,367;    6,500;    0,000;    0,000
328,385;   26,900;    0,000;    0,000
328,403;   14,550;    0,000;    0,000
328,421;  -10,300;    0,000;    0,000
328,439;   -6,600;    0,000;    0,000
328,457;   -2,500;    0,000;    0,000
328,475;    3,700;    0,000;    0,000
328,493;   15,000;    0,000;    0,000
